 0	5
 1	11
 2	10
 3	10
 4	10
 5	11
 6	10
 7	10
 8	9
 9	10
10	11
11	9
12	10
13	11
14	9
15	10
16	10
17	9
18	11
19	10
20	9
21	10
22	11
23	9
24	10
25	10
26	11
27	10
28	10
29	10
30	11
31	10
32	10
33	9
34	10
35	11
36	9
37	10
38	11
39	9
40	10
41	10
42	9
43	11
44	10
45	9
46	10
47	11
48	9
49	10
50	10
51	11
52	10
53	10
54	10
55	11
56	10
57	10
58	9
59	10
60	11
61	9
62	10
63	11
64	9
65	10
66	10
67	9
68	11
69	10
70	9
71	10
72	11
73	9
74	10
75	10
76	11
77	10
78	10
79	10
80	11
81	10
82	10
83	9
84	10
85	11
86	9
87	10
88	11
89	9
90	10
91	10
92	9
93	11
94	10
95	9
96	10
97	11
98	9
99	10
100	5
